en,hv
do not be misled god is not one to be mocked . ,indi pagdayai ang inyo kaugalingon ang dios indi ninyo madaya . 
"for whatever a person is sowing , this he will also reap but each one is tried by being drawn out and enticed by his own desire . ","kay kon ano ang ginasab - ug sang tawo , ini man ang iya anihon apang ang kada isa ginatilawan kon ginaganyat sia kag ginahaylo sang iya kaugalingon nga kailigbon . "
"if , now , your right eye is making you stumble , tear it out and throw it away from you . ","gani kon ang imo tuo nga mata nagapasandad sa imo , lukata ini kag ihaboy . "
for it is better for you to lose one of your members than for your whole body to be pitched into ge hen na . ,kay maayo pa nga madula ang isa ka bahin sang imo lawas sangsa ang imo bug - os nga lawas ihaboy sa gehenna . 
"deaden , therefore , your body members that are on the earth as respects sexual immorality , uncleanness , uncontrolled sexual passion , hurtful desire , and greediness , which is idolatry . ","gani , patya ninyo ang mga bahin sang inyo lawas nga may dutan - on nga huyog subong sang seksuwal nga imoralidad , kahigkuan , indi mapunggan nga kailigbon sa sekso , makahalalit nga handum , kag kakagod nga isa ka sahi sang pagsimba sa mga diosdios . "
turn my eyes away from looking at what is worthless preserve me alive in your way . ,ilikaw ang akon mga mata sa pagtan - aw sa wala sing pulos nga mga butang amligi ang akon kabuhi sa imo dalanon . 
"keep on the watch and pray continually , so that you may not enter into temptation . ","magpadayon kamo sa pagbantay kag pagpangamuyo , agod indi kamo masulay . "
"the spirit , of course , is eager , but the flesh is weak . ","sa pagkamatuod , ang espiritu handa , apang ang unod maluya . "
"jehovah is merciful and compassionate , slow to anger and abundant in loyal love . ","si jehova maluluy - on kag mainawaon , indi dali maakig kag bugana sa mainunungon nga gugma . "
was it designed . ,gindesinyo bala ini . 
"the small berry of the pollia condensata plant , found across africa , exhibits the most intense blue color ever seen in a plant . ","ang gamay nga berry nga pamilya sang tanom nga pollia condensata , nga masapwan sa aprika , amo ang may pinakamasiri nga kolor nga blue nga makita sa tanom . "
yet it has no blue pigment . ,"pero ang matuod , wala sing blue nga kolor ang bahin sang bunga sini . "
what is the secret behind its striking color . ,ano ang sekreto sang masiri sini nga kolor . 
consider the cell walls in the skin of the berry contain tiny threads arranged like rows of matches . ,binagbinaga ang mga selula sa panit sini nga berry may mapino nga mga lanot nga nagaraya pareho sang posporo . 
"these threads form layers , each layer set off at a slight angle to the layer below , so that the rising layers form a helical , or spiral , pattern . ","ini nga mga lanot nagaporma sing nagasampaw nga mga anib , kag ang kada sampaw nagaligdas gamay , amo nga nagaporma ini sang spiral nga korte . "
the threads themselves are not colored blue . ,ang mga lanot mismo indi blue . 
the color comes from the way the threads are stacked . ,naga - blue ang kolor kon tan - awon bangod sa porma sang pagsampawanay sang mga lanot . 
"thus , structure , not pigment , is the key to the berry ' s intense metallic hue and iridescence . ","gani ang pagplastar sini amo ang rason kon ngaa masiri , nagabadlak , kag daw nagainggat ang kolor sini nga berry . "
most cells appear blue . ,ang kalabanan nga selula daw blue kon tan - awon . 
"but from different angles , some emit a green , pink , or yellow hue because of subtle changes in the layers . ","pero sa lain nga anggulo , daw green , pink , ukon yellow ini kon tan - awon bangod sa tama ka gamay nga pagbag - o sa pagsampawanay sang mga anib . "
"moreover , when examined closely , the colors are not smooth and even but appear pixelated , like the colors on a computer screen . ","dugang pa , kon usisaon gid ini , ang kolor sini indi klaro kundi buron , pareho sa kolor sang piktyur sa kompyuter . "
"since pollia berries have no pigment , they keep their color even after they drop from the plant . ","bangod ang pollia nga mga berry wala sing kolor , wala nagalus - aw ang kolor sini bisan pa mapulak na ini . "
"in fact , some berries collected over a century ago look as brilliant as fresh ones . ","ang matuod , ang pila ka berry nga gin - ipo sobra isa ka gatos ka tuig na ang nagligad , daw pareho lang gihapon sa preska nga berry ang kolor . "
"even though the berry has no edible pulp , just seeds , it sends an irresistible signal to nearby birds , according to researchers . ","suno sa mga researcher bisan pa puro lang liso ang unod sang berry , ginaamag ini gihapon sang mga pispis sa palibot . "
scientists believe that the pollia berry ' s pigment - free color could inspire products ranging from fade - resistant dyes to counterfeit - resistant paper . ,nagapati ang mga sientipiko nga ang pamaagi sang pollia nga berry sa pagpagua sang kolor makabulig para makahimo sang mga lugom nga wala nagalus - aw kag mga dokumento nga indi mapeke . 
what do you think . ,ano sa banta mo . 
did the brilliant blue of the pollia berry come about by evolution . ,ang masiri nga kolor sang pollia nga berry resulta bala sang ebolusyon . 
or was it designed . ,ukon gindesinyo ini . 
bible questions answered family can the bible help me to have a happy family . ,sabat sa mga pamangkot sa biblia pamilya makabulig bala ang biblia para magmalipayon ang akon pamilya . 
wise advice from the bible has already helped millions of men and women to have happiness at home . ,ang base sa biblia nga mga laygay nakabulig sa minilyon ka lalaki kag babayi para magmalipayon ang ila pamilya . 
videos viewpoints on the origin of life monica richardson a physician explains her faith what she learned about the miracle of childbirth changed her view on the origin of life . ,video pagpati sa ginhalinan sang kabuhi monica richardson ang doktor nagpaathag sang iya pagtuo ginbag - o sang iya natun - an parte sa pagkabun - ag ang iya pagpati parte sa ginhalinan sang kabuhi . 
it is provided as part of a worldwide bible educational work supported by voluntary donations . ,ginagamit ini subong bahin sang bug - os kalibutan nga hilikuton sa pagtudlo sang biblia nga ginasuportahan sang boluntaryo nga mga donasyon . 
"unless otherwise indicated , scripture quotations are from the modern - language new world translation of the holy scriptures . ","luwas kon tuhay ang ginapakita , ang mga kinutlo sa biblia naghalin sa bag - ong kalibutan nga badbad sang balaan nga kasulatan . "
the brilliant blue of the pollia berry . ,ang masiri nga kolor sang pollia berry . 
"today , many people are extremely busy , to the point that sometimes relationships are strained and families suffer . ","madamo nga tawo subong ang tama na gid kasako , amo nga kon kaisa nagakaguba na ang ila kaangtanan sa iban kag nagaantos ang ila pamilya . "
how can we be balanced in our use of time . ,paano naton mabalanse ang aton tion . 
a wise man once wrote better is a handful of rest than two handfuls of hard work and chasing after the wind . ,ang isa ka maalam nga tawo sang una nagsiling mas maayo pa ang diutay nga pahuway sangsa tuman nga pagpangabudlay kag paglagas sa hangin . 
this issue of awake . ,mabasa mo sa sini nga magmata . 
"provides practical suggestions on making wise use of our time , which includes setting practical priorities . ",ang praktikal nga mga panugda kon paano kita makahimo sang husto nga mga prioridad . 
better is a handful of rest than two handfuls of hard work and chasing after the wind . ,mas maayo pa ang diutay nga pahuway sangsa tuman nga pagpangabudlay kag paglagas sa hangin . 
cover subject do you feel you are too busy . ,topiko sa kober pamatyag mo bala tama ka na gid kasako . 
"if so , you are by no means alone . ","kon huo , indi lang ikaw ang nagabatyag sina . "
"everybody , everywhere seems to be busy , reports the magazine the economist . ","bisan diin ka lang , ang tanan daw masako , report sang magasin nga the economist . "
"causes included increased responsibilities at work or at home , rising expenses , and longer working hours . ","ang mga kabangdanan sini nagalakip sang pagdamo sang responsibilidad sa trabaho kag sa pamilya , pagdaku sang galastuhan , kag pagtrabaho sing malawig . "
children too can be affected if overloaded with tightly scheduled activities . ,apektado man ang mga kabataan kon tama kadamo sang ila ulubrahon . 
"when we constantly try to do more than time may allow , we can become stressed victims of what has been termed time pressure . ","kon pirme na lang tama kadamo sang aton ulubrahon kag kulang ang aton tion , nagaka - stress kita . "
but is it possible to live a more balanced life . ,pero posible bala nga mangin mas balanse ang aton kabuhi . 
"what role do our beliefs , choices , and goals play . ","ano ang epekto sang aton mga pagpati , desisyon , kag mga tulumuron sa sini . "
"first , consider four reasons why some try to do too much . ","una , binagbinaga anay ang apat ka rason kon ngaa masako gid katama ang iban . "
"i was involved in my work seven days a week , says a father named gary . ","nagaobra ako sing pito ka adlaw kada semana , siling sang amay nga si gary . "
i did it because there was always something better that i wanted to give my kids . ,ginahimo ko ini kay gusto ko amanan sing mas maayo ang akon mga bata . 
i wanted them to have the things i never had . ,gusto ko ihatag sa ila ang mga butang nga wala ko natigayon sadto . 
"despite their good motives , parents need to examine their priorities . ","bisan pa maayo ang motibo sang mga ginikanan , kinahanglan nila usisaon ang ila mga prioridad . "
"some studies suggest that both adults and children who attach a lot of importance to money and material possessions tend to be less happy , less satisfied with life , and less healthy physically than those who are not materialistic . ","ginapakita sang pila ka pagtuon nga kon mas importante sa mga adulto kag kabataan ang kuarta kag materyal nga pagkabutang indi sila malipayon , indi kontento , kag indi mapagros sangsa mga indi materyalistiko . "
"children who are raised with an emphasis on material things are actually less happy in an effort to position their children for future success , some parents overschedule both their children and themselves with various activities . ","ang mga bata nga gintudluan nga unahon ang materyal nga mga butang nangin indi malipayon gusto gid sang mga ginikanan nga magmadinalag - on ang ila kabataan , amo nga nagabakabaka sila obra kag pati ang ila kabataan ginahatagan nila sing madamo nga ulubrahon . "
"such well - meaning parents , says the book putting family first , are acting like recreation directors on a turbo - charged family cruise ship . ","maayo ang motibo sini nga mga ginikanan , siling sang libro nga putting family first , pero indi gid maayo ang resulta sini sa ila kag sa ila mga kabataan . "
advertisers try to convince us that we are depriving ourselves if we don ' t buy their latest products . ,ginakumbinsi kita sang mga pasayod nga kanugon gid kon indi naton pagbaklon ang pinakabag - o nila nga produkto . 
"says the economist the explosion of available goods has only made time feel more crunched , as consumers struggle to choose what to buy or watch or eat in the limited time they have available . ","ang the economist nagsiling ang pagdamo katama sing mga produkto nga ginatanyag nagapabatyag pa gid sa mga tawo nga kulang ang ila tion , kay ang mga konsumidor nabudlayan sa pagpili kon ano ang ila baklon ukon tan - awon ukon kaunon bangod sa ila kasakuon . "
how wrong he was . ,nagsala gid sia . 
"instead of quitting work early , observed elizabeth kolbert , staff writer for the new yorker magazine , people find new things to need and these things cost money and time . ","imbes nga temprano pa matapos ang obra , siling ni elizabeth kolbert , nga manunulat sang magasin nga new yorker , ang mga tawo nakakita sang bag - o nga mga butang nga kinahanglan nila kag ini nga mga butang mahal kag nagakinahanglan sing mas madamo nga tion . "
some employees work grueling hours to avoid displeasing their employer . ,ang pila ka empleyado nagabakabaka sa pag - obra para malipay ang ila amo . 
coworkers can also exert pressure by making others feel guilty if they do not stay late . ,ang mga upod sa trabaho mahimo man magpabatyag sa iban nga kinahanglan nila mag - obertaym . 
"and then there is economic uncertainty , which can make people more willing to work longer hours or to be constantly on call . ","bangod man sa kapigaduhon , ang mga nagatrabaho handa nga mag - obra sing malawig ukon bisan ano nga oras . "
"similarly , parents can feel pressured to conform to the hectic pace of other families . ","sing kaanggid , mahimo mapilitan ang mga ginikanan nga ilugon ang masako nga kabuhi sang iban nga pamilya . "
"if they do not conform , they may feel guilty about depriving their children . ","kay kon indi , mahimo sila magbatyag nga kulang ang ila ginahatag sa ila kabataan . "
"tim , who lives in the united states , says i loved my work , and i worked at full throttle all the time . ","si tim , nga nagaistar sa estados unidos , nagsiling nanamian gid ako sa akon trabaho , kag nagabakabaka gid ako obra . "
i felt that i had to prove myself . ,pamatyag ko may dapat ako pamatud - an . 
"like tim , many feel a strong connection between their self - image and their pace of life . ","pareho ni tim , madamo ang nagabatyag nga may epekto ang kasakuon sa pagtan - aw sang iban sa ila . "
"busyness has acquired social status , says elizabeth kolbert , quoted earlier . ","ang kasakuon nagapakita sang tindog sa kabuhi , siling ni elizabeth kolbert , nga ginsambit kaina . "
she adds the busier you are the more important you seem . ,nagsiling pa sia kon mas masako ka daw mas importante ka . 
diligence and hard work are encouraged in the bible . ,ang pagpangabudlay kag ang kapisan ginapalig - on sang biblia . 
but so is balance . ,amo man ang pagkabalanse . 
leading a balanced life is good for our mental and physical health . ,ang balanse nga pagkabuhi may maayo nga epekto sa aton hunahuna kag lawas . 
"is it really possible , though , to cut back or slow down . ",pero posible bala nga buhinan ang aton mga ulubrahon ukon maghinayhinay kita . 
it is normal to want a measure of financial security . ,normal lang nga gusto mo nga may kuarta ka man . 
consider four suggestions ,binagbinaga ang apat ka panugda . 
but how much money is enough . ,pero pila gid ang imo kinahanglan . 
what constitutes success . ,ano gid ang basihan sang pagkamadinalag - on . 
is it measured merely by income or material assets . ,nabase bala ini sa imo kita ukon materyal nga ginapanag - iyahan . 
"conversely , having too much rest or recreation can also increase time pressure . ","pero , ang sobra naman nga pagpahuway kag paglingawlingaw mahimo magdugang sa imo kasakuon . "
"tim , quoted earlier , says my wife and i took a hard look at our life and decided to simplify it . ","si tim , nga ginsambit kaina , nagsiling gin - usisa gid namon sing maayo sang akon asawa ang amon kabuhi kag nagdesisyon nga pasimplehon ini . "
we made a chart that showed our current situation and our new goals . ,naghimo kami sing tsart nga nalista ang amon sitwasyon kag ang amon bag - o nga mga tulumuron . 
we discussed the effects of past decisions and what we would need to do to reach our goals . ,gin - istoryahan namon ang epekto sang amon mga desisyon sang una kag ang dapat namon himuon para malab - ot ang amon mga tulumuron . 
the bible advises us to control the desire of the eyes . ,ang biblia nagalaygay nga kontrolon naton ang kailigbon sang mga mata . 
"advertising can fuel such desires , pushing a person to work long hours or to indulge in excessive or costly recreation . ","ang mga pasayod mahimo magpabaskog sa sini nga kailigbon , amo nga nagatrabaho sing malawig ang iban ukon nagapasobra sa paglingawlingaw nga tama ka mahal . "
"true , you may not be able to avoid all ads . ","matuod , indi mo malikawan ang tanan nga pasayod . "
but you can limit your exposure to them . ,pero puede mo malimitehan ang pagtan - aw sini . 
you can also carefully consider what you actually need . ,mahimo mo man binagbinagon sing maayo kon ano gid ang kinahanglanon mo . 
"keep in mind , too , the power that your associates can have on you . ",dumduma man ang epekto sang imo mga kaupdanan sa imo . 
"if they avidly pursue material things or if they measure success in material terms , you may be wise to seek out friends who have better priorities . ","kon ginatinguhaan gid nila ang materyal nga mga butang ukon nagapati sila nga amo ini ang basihan sang pagkamadinalag - on , mas maayo nga mangita ka sing mga abyan nga may mas maayo nga mga prioridad . "
"the one walking with the wise will become wise , the bible says . ","ang tawo nga nagaupod sa maalamon mangin maalamon man , siling sang biblia . "
speak to your employer about your work and your priorities . ,istoryaha ang imo amo parte sa imo obra kag mga prioridad . 
and do not feel guilty about having a life away from your job . ,indi ka magbatyag nga indi gid puede nga indi ka mag - obra . 
the book work to live says those who put up boundaries between the job and home or take vacations find one consistent revelation there is no apocalypse while you ' re gone . ,ang libro nga work to live nagsiling isa lang ang napamatud - an sang mga nagaseparar sang ila trabaho sa ila pamilya ukon nagabakasyon wala sing malain nga matabo kon wala sila . 
"gary , quoted earlier , was financially comfortable , so he decided to reduce his working hours . ","si gary , nga ginsambit kaina , may maayo nga pangabuhi , gani nagdesisyon sia nga buhinan ang iya oras sa trabaho . "
"i talked with my family and suggested that we simplify our lifestyle , he said . ","gin - istorya ko ang akon pamilya nga pasimplehon namon ang amon pagkabuhi , siling niya . "
then we gradually took steps to do so . ,dayon amat - amat namon ini nga ginhimo . 
"i also approached my employer with a proposal to work fewer days each week , and he agreed . ","naglisensia man ako sa akon amo nga buhinan ko ang adlaw sang akon trabaho kada semana , kag nagpasugot sia . "
"husbands and wives need to spend time together , and children need time with their parents . ","kinahanglan sang mag - asawa ang tion para sa isa kag isa , kag kinahanglan man sang kabataan ang tion nga makaupod ang ila mga ginikanan . "
so avoid trying to match the pace of other families who are constantly on the go . ,gani indi pag - iluga ang mga pamilya nga pirme lang masako . 
"declare some downtime , gary suggests , and drop things that have a lower priority . ","magpahuway ka man kag magrelaks , panugda ni gary , kag indi na paghimua ang mga butang nga indi man gid tanto ka importante . "
"when your family is together , do not let television , cell phones , or other devices isolate you from one another . ","kon magkaupod ang inyo pamilya , indi magpasugot nga kuhaon sang telebisyon , cell phone , ukon iban pa nga gadyet ang tion ninyo sa pag - updanay . "
"share at least one meal together each day , and use mealtimes to talk as a family . ","magkaon kamo sing magkaupod bisan isa lang ka bes kada adlaw , kag gamita ini nga tion nga makaistoryahanay kamo bilang pamilya . "
"when parents heed that simple advice , their children enjoy greater well - being and do better at school . ","kon himuon sang mga ginikanan ining simple nga laygay , mangin mas malipayon kag mapagros ang ila kabataan kag mangin mas maayo nga mga estudyante . "
"use mealtimes to talk as a family in conclusion , ask yourself what do i want out of life . ",gamita ang tion sa pagkaon para makaistoryahanay kamo bilang pamilya gani pamangkuta ang imo kaugalingon ano ang gusto ko nga matabo sa akon kabuhi . 
what do i want for my family . ,ano ang gusto ko para sa akon pamilya . 
"if you desire a happier and more meaningful life , set priorities that reflect the proven wisdom found in the bible . ","kon gusto mo ang mas malipayon nga kabuhi , maghimo sing mga prioridad nga nahisuno sa laygay sang biblia . "
do smartphones and tablets increase time pressure or relieve it . ,ang mga cell phone bala kag mga tablet makadugang ukon makabuhin sang kasakuon . 
the answer depends on how these tools are used . ,ang sabat nagadepende sa kon paano ini ginagamit . 
at work mobile devices can give workers more flexibility in choosing when and where to work . ,"sa obra paagi sa mga gadyet , mas makapili ang mga nagatrabaho kon san - o kag kon diin sila maobra . "
but they can also make work more stressful by creating the expectation that workers will be available at almost any hour of the day or night . ,"pero mahimo man ini makadugang sa ila stress kay ginapaabot nga puede sila paobrahon bisan ano nga oras , adlaw man ukon gab - i . "
at home cell phones may reduce time pressure by making it easier for families to coordinate their activities . ,sa balay ang mga cell phone mahimo makabuhin sa kasakuon sang pamilya kay mas mahapos nila mapahibalo sa isa kag isa ang ila mga hilimuon . 
"however , these devices can also intrude on family time . ","pero , mahimo man sini kuhaon ang tion nga kuntani para sa pag - ululupod sang pamilya . "
studies indicate that children who have to compete with devices for a parent ' s attention may become frustrated and prone to behavioral problems . ,"ginapakita sang mga pagtuon nga ang mga kabataan nga wala gawa ginahatagan sing atension sang ila mga ginikanan bangod masako sa mga gadyet , mahimo nga nagalalain kag sa masami may indi maayo nga mga batasan . "
"the lazy person has his cravings , yet he has nothing , but the diligent one will be fully satisfied . ","ang matamad nga tawo nagahandum , apang wala sia sing matigayon , apang ang isa nga mapisan busgon sing bug - os . "
"recent studies , however , revealed that the birds actually fly much farther . ",pero ginapakita sang mga pagtuon sining karon lang nga mas malawig pa gali ang ginalupad sini nga mga pispis . 
"tern migration follows an indirect path , as shown in the illustration tiny instruments called geolocators were attached to a number of birds . ","ang paglakbay sang tern indi tadlong , pareho sang makita sa piktyur ginbutangan sing magagmay nga instrumento nga ginatawag geolocator ang pila sini nga mga pispis . "
why the revised estimates . ,ngaa nagbag - o ang ila kalkulasyon . 
"no matter where they began their migration , the arctic terns flew an indirect route . ","bisan diin man maghalin ang mga arctic tern , ang ruta sang ila paglakbay indi tadlong . "
"as shown in the illustration , a common atlantic ocean route took an s shape . ","pareho sa makita sa piktyur , ang kalabanan nga ruta nila sa atlantic ocean daw s ang korte . "
the birds simply take advantage of prevailing wind systems . ,kay nagapauyon ini nga mga pispis sa direksion sang hangin . 
that is equal to three or four round - trips to the moon . ,pareho ini ka layo sang tatlo ukon apat ka pakadto - pabalik nga paglakbay sa bulan . 
"what is more , because arctic terns experience the summers at both poles , they see more daylight each year than any other creature , states the book life on earth a natural history . ","dugang pa , bangod maeksperiensiahan sang mga arctic tern ang tig - ilinit sa south kag north pole , maeksperiensiahan nila ang mas malawig nga adlaw kada tuig sangsa iban nga tinuga , siling sang libro nga life on earth a natural history . "
"a good name , or reputation , earns trust and respect a good name , or reputation , is so valuable that in some lands it is legally protected . ","ang maayo nga ngalan , ukon reputasyon , nagabulig para saligan kita kag respetuhon sang iban importante gid ang maayo nga ngalan , ukon reputasyon , amo nga sa iban nga pungsod , may mga kasuguan nga nagaamlig sa sini . "
that may include protection against libel and slander . ,"nagalakip ini sang libel , kag pagpasipala . "
this calls to mind the ancient saying a good name is to be chosen rather than great wealth to be respected is better than silver and gold . ,nagapahanumdom ini sa aton sang halambalanon sang una ang maayo nga ngalan mas maayo nga pilion sangsa madamo nga manggad ang pagtahod mas maayo sangsa pilak kag bulawan . 
how can we earn both a good name and the respect of others . ,paano naton matigayon ang maayo nga ngalan kag respeto sang iban . 
excellent suggestions can be found in the bible . ,may maayo gid nga mga panugda ang biblia . 
"in answer to the question , who may be a guest in god ' s tent . ",sa pagsabat sang pamangkot nga sin - o ang makaduaw sa tolda sang dios . 
the psalmist wrote the one who is . ,ang salmista nagsulat ang isa nga . 
practicing what is right and speaking the truth in his heart . ,nagahimo sing matarong kag nagahambal sing kamatuoran sa iya tagipusuon . 
"he does not slander , he does nothing bad to his neighbor , and he does not defame his friends . ","sia nga wala nagapasipala , wala nagahimo sing malain sa iya isigkatawo , kag wala nagapakahuya sa iya mga abyan . "
he rejects anyone who is contemptible . ,ginasikway niya ang mga talamayon . 
"he does not go back on his promise , even when it is bad for him . ","ginatuman niya ang iya saad , bisan pa mabudlay ini tumanon . "
and he does not accept a bribe . ,kag wala sia nagabaton sing hamham . 
would you not respect someone who lived by those beautiful principles . ,indi bala nga respetuhon mo gid ang tawo nga nagaaplikar sining maayo nga mga prinsipio . 
another quality that contributes to gaining respect is humility . ,ang isa pa ka kinaiya nga makabulig para matigayon ang respeto amo ang pagkamapainubuson . 
consider the humble see where they can make improvement and work hard to do so . ,binagbinaga makita sang mga mapainubuson kon ano pa ang ila palauswagon kag ginatinguhaan nila nga himuon ini . 
"also , they are willing to apologize if they have offended someone . ",handa man sila sa pagpangayo sing pasaylo kon makasala sila sa iban . 
the proud are not like that but instead are quick to take offense . ,"ang mga bugalon indi amo sina , sa baylo madali sila maakig . "
"what , though , if someone smears your good name . ","pero , paano kon mantsahan sang iban ang imo maayo nga ngalan . "
"should you react hastily , perhaps in the heat of anger . ",maakig ka bala dayon . 
"ask yourself , if i try to defend my name , will i actually be giving wider exposure to the lie . ","pamangkuta ang imo kaugalingon , kon pangapinan ko ang akon ngalan , mapamatud - an ko gid bala sa tanan nga sala ang ginasiling sa akon . "
"while legal action may be appropriate at times , the bible gives this wise advice do not rush into a legal dispute . ","ang pagpasaka sing kaso nagakaigo man kon kaisa , pero ang biblia naglaygay indi ka magpadasudaso sa pagkadto sa korte . "
"rather , plead your case with your neighbor . ","sa baylo , mag - areglahanay kamo . "
this more measured approach can also spare you costly legal expenses . ,"paagi sa sini , indi ka na magastuhan sa pagpasaka sing kaso sa korte . "
the bible is far more than a book about religion . ,ang biblia indi lang libro parte sa relihion . 
it is a trustworthy guidebook for life . ,masaligan gid ini nga giya sa pagkabuhi . 
all who apply its wisdom cultivate qualities that merit deep respect and contribute to a good name . ,ang tanan nga nagaaplikar sang mga laygay sini may mga kinaiya nga nagabulig sa ila nga respetuhon sang iban kag mangin maayo ang ila ngalan . 
a good name is to be chosen rather than great wealth to be respected is better than silver and gold . ,ang maayo nga ngalan mas maayo nga pilion sangsa madamo nga manggad ang pagtahod mas maayo sangsa pilak kag bulawan . 
or a good reputation . ,ukon ang maayo nga reputasyon . 
a melody of david . ,salmo ni david . 
who may reside in your holy mountain . ,sin - o ang makaistar sa imo balaan nga bukid . 
"he does not go back on his promise , even when it is bad for him . ","ginatuman niya ang iya saad , bisan pa mabudlay ini tumanon . "
whoever does these things will never be shaken . ,ang nagahimo sini nga mga butang indi gid malingkang . 
or with integrity . ,ukon nga may integridad . 
or will never stagger . ,ukon magdulingduling . 
"o jehovah , who may be a guest in your tent . ","o jehova , sin - o ang makaduaw sa imo tolda . "
who may reside in your holy mountain . ,sin - o ang makaistar sa imo balaan nga bukid . 
"he does not go back on his promise , even when it is bad for him . ","ginatuman niya ang iya saad , bisan pa mabudlay ini tumanon . "
whoever does these things will never be shaken . ,ang nagahimo sini nga mga butang indi gid malingkang . 
or with integrity . ,ukon nga may integridad . 
or will never stagger . ,ukon magdulingduling . 
"the fear of jehovah is a training in wisdom , and before glory there is humility . ","ang kahadlok kay jehova nagatudlo sing kaalam , kag antes ang kadungganan yara ang pagkamapainubuson . "
for we all stumble many times . ,kay kita tanan nagakasandad sing madamong beses . 
"if anyone does not stumble in word , he is a perfect man , able to bridle also his whole body . ","kon ang bisan sin - o wala nagakasandad sa pulong , himpit sia nga tawo , nga makapugong man sang iya bug - os nga lawas . "
or make mistakes . ,ukon makasala . 
"pride is before a crash , and a haughty spirit before stumbling . ","ang bugal nagauna sa pagkapukan , kag ang matinaastaason nga espiritu sa pagkasandad . "
"do not rush into a legal dispute , for what will you do later if your neighbor humiliates you . ","indi ka magpadasudaso sa pagpasaka sing panumbungon , kay kon mapamatud - an sa ulihi sang imo isigkatawo nga nagsala ka , ano na lang ang imo himuon . "
"first make your peace with your brother , and then come back and offer your gift . ","makighidait ka anay sa imo utod , kag sa pagbalik mo , ihalad ang imo dulot . "
"moreover , if your brother commits a sin , go and reveal his fault between you and him alone . ","kon ang imo utod nakasala sa imo , kadtui sia kag sugiri sang iya sala nga kamohanon lang . "
help for the family marriage couples often face their greatest challenges after their children have grown up and left home . ,"bulig para sa pamilya pag - asawahay sa masami , ang pinakadaku nga kabudlayan sang mag - asawa maeksperiensiahan nila kon magdalagku na kag magpain ang ila mga kabataan . "
the empty nest can leave them feeling like virtual strangers . ,"kon wala na sa balay ang mga bata , daw mga estranghero na sila sa isa kag isa . "
"i counsel many people who don ' t know how to reconnect to their spouses , writes family expert m . ","ginalaygayan ko ang madamo nga tawo nga wala makahibalo kon paano makigsuod liwat sa ila mga tiayon , siling sang eksperto sa pamilya nga si m . "
gary neuman . ,gary neuman . 
"now that the children are gone , the parents have very little to talk about or to share . ","kon magpain na ang mga kabataan , daw wala na sing istoryahan ang mga ginikanan . "
does that to some degree describe your marriage . ,daw amo man bala sina ang nagakatabo sa inyo pag - asawahay . 
"if so , you can get back on track . ","kon huo , mahimo pa mapauswag ang inyo kaangtanan sa isa kag isa . "
"first , though , consider some factors that might be to blame for the distance that has developed between you and your spouse . ","pero , binagbinagon anay naton ang pila sa mga kabangdanan nga mahimo nagpahilayo sa inyo nga mag - asawa . "
"for years , the children came first . ",tinuig na nga ginauna gid sang mag - asawa ang ila kabataan . 
"with good intentions , many parents put their children ' s needs above the needs of their marriage . ","gusto sang madamo nga ginikanan nga mangin maayo ang ila kabataan , gani ginauna nila ang ila kabataan sangsa ila pag - asawahay . "
"as a result , they become so accustomed to the roles of dad and mom that they lose their connection as husband and wife a fact that becomes readily apparent once the children are gone . ","bangod sini , naanad sila sa ila papel bilang amay kag iloy kag nadula nila ang ila kaangtanan bilang bana kag asawa kag makita gid ini nga problema kon magpain na ang kabataan . "
"but after the children left home , she admits , we were on separate tracks . ","pero sang nagpain na ang kabataan , siling niya , indi na pareho ang amon mga prioridad . "
"at one point she even said to her husband , we are in each other ' s way . ","naglab - ot pa gani sa punto nga ginsilingan niya ang iya bana , wala na ' ta bala hilabtanay . "
some couples are unprepared to adapt to this new phase of life . ,ang pila ka mag - asawa indi handa sa sini nga pagbag - o . 
"for many couples , it is almost as though they are in a new marriage , says the book empty nesting . ","para sa madamo nga mag - asawa , daw bag - o lang sila nag - asawahay , siling sang libro nga empty nesting . "
"feeling that they have little in common , many husbands and wives retreat into their own separate pursuits , becoming more like roommates than marriage mates . ","nagabatyag ang madamo nga bana kag asawa nga daw wala na sang mga butang nga pareho sila , gani lainlain na ang ila mga prioridad , kag daw nangin mag - roommate na lang sila imbes nga mag - asawa . "
"the good news is , you can avoid the pitfalls and even enjoy the benefits of this new chapter in your life . ","pero , malikawan ninyo ini nga mga problema kag mahimo pa gani kamo makabenepisyo sa sining bag - o nga bahin sang inyo kabuhi . "
the bible can help in that effort . ,mabuligan kamo sang biblia para mahimo ini . 
let us see how . ,binagbinagon naton kon paano . 
resolve to accept the change . ,batuna ang pagbag - o . 
"concerning grown children , the bible says a man will leave his father and his mother . ","parte sa dalagku na nga kabataan , ang biblia nagsiling bayaan sang lalaki ang iya amay kag ang iya iloy . "
"as parents , your goal was to train your children for that moment , to help them develop the skills they would need to function as adults . ","bilang mga ginikanan , ang inyo katungdanan amo nga ihanda sila sa sina nga tion kag buligan sila nga mapauswag ang mga ikasarang nga magamit nila kon dalagku na sila . "
"viewed in that light , your children ' s leaving home is something of which you can rightly be proud . ","kon amo sini ang inyo pagtamod , ang pagpain sang inyo kabataan isa ka butang nga mapabugal gid ninyo . "
"of course , you will always be a parent to your children . ","siempre , bisan pa nagpain na ang inyo kabataan , mga ginikanan gihapon nila kamo . "
